Ticker,asset_class
AAXJ,Intl Equity
ACWI,Intl Equity
ACWX,Intl Equity
AGG,Fixed Income
AMJ,US Equity
AMLP,Fixed Income
BAB,Fixed Income
BBH,US Equity
BIL,Fixed Income
BIV,Fixed Income
BKF,Intl Equity
BKLN,Fixed Income
BND,Fixed Income
BOND,Fixed Income
BRF,Intl Equity
BSJF,Fixed Income
BSV,Fixed Income
BWX,Fixed Income
CEW,Fixed Income
CHIQ,Intl Equity
CVY,US Equity
CWB,US Equity
DBA,Fixed Income
DBB,Alternative
DBC,Alternative
DBE,Alternative
DBJP,Alternative
DBO,Alternative
DBV,US Equity
DEM,Intl Equity
DFJ,Alternative
DGS,Intl Equity
DGZ,Fixed Income
DIA,US Equity
DJP,Alternative
DLN,US Equity
DOG,Fixed Income
DVY,US Equity
DWX,Intl Equity
DXJ,Alternative
ECH,Intl Equity
ECON,Intl Equity
EDIV,Intl Equity
EEM,Intl Equity
EEMV,Intl Equity
EFA,Intl Equity
EFAV,Intl Equity
EFV,Intl Equity
EFZ,Fixed Income
EIDO,Intl Equity
ELD,Fixed Income
EMB,Fixed Income
EMLC,Fixed Income
EMLP,US Equity
EPHE,Alternative
EPI,Intl Equity
EPOL,Intl Equity
EPP,Intl Equity
EPU,Intl Equity
ERUS,Intl Equity
EUM,Fixed Income
EWA,Intl Equity
EWC,Intl Equity
EWD,Intl Equity
EWG,Intl Equity
EWH,Intl Equity
EWI,Intl Equity
EWJ,Intl Equity
EWL,Intl Equity
EWM,Intl Equity
EWN,Intl Equity
EWP,Intl Equity
EWQ,Intl Equity
EWS,Intl Equity
EWT,Intl Equity
EWU,Intl Equity
EWW,Intl Equity
EWX,Intl Equity
EWY,Intl Equity
EWZ,Intl Equity
EZA,Intl Equity
EZU,Intl Equity
FCG,US Equity
FDL,US Equity
FDN,US Equity
FEM,Intl Equity
FEZ,Intl Equity
FM,US Equity
FRI,Alternative
FVD,US Equity
FXA,Intl Equity
FXD,US Equity
FXE,Fixed Income
FXG,US Equity
FXH,US Equity
FXI,Intl Equity
FXO,US Equity
FXY,Fixed Income
GCC,Alternative
GDX,Alternative
GDXJ,Alternative
GLD,Alternative
GNR,Intl Equity
GOVT,Fixed Income
GREK,Intl Equity
GSG,Alternative
GUNR,Intl Equity
GWL,Intl Equity
GWX,Intl Equity
GXC,Intl Equity
GXG,Intl Equity
HAO,Intl Equity
HDGE,Fixed Income
HDV,US Equity
HEDJ,Intl Equity
HYD,Fixed Income
HYEM,Fixed Income
HYG,Fixed Income
HYS,Fixed Income
IAU,Alternative
IBB,US Equity
ICF,Alternative
IDV,Intl Equity
IDX,Intl Equity
IEF,Fixed Income
IEFA,Intl Equity
IEI,Fixed Income
IEMG,Intl Equity
IEO,US Equity
IEV,Intl Equity
IEZ,US Equity
IFGL,Alternative
IGE,US Equity
IGF,Intl Equity
IGN,US Equity
IJH,US Equity
IJJ,US Equity
IJK,US Equity
IJR,US Equity
IJS,US Equity
IJT,US Equity
ILF,Intl Equity
INDA,Intl Equity
INDY,Intl Equity
ITB,US Equity
ITM,Fixed Income
ITOT,US Equity
IVE,US Equity
IVV,US Equity
IVW,US Equity
IWB,US Equity
IWD,US Equity
IWF,US Equity
IWM,US Equity
IWN,US Equity
IWO,US Equity
IWP,US Equity
IWR,US Equity
IWS,US Equity
IWV,US Equity
IXC,Intl Equity
IYE,US Equity
IYF,US Equity
IYJ,US Equity
IYM,US Equity
IYR,Alternative
IYT,US Equity
IYW,US Equity
IYZ,US Equity
JNK,Fixed Income
KBE,US Equity
KBWB,US Equity
KIE,US Equity
KOL,Intl Equity
KRE,US Equity
MBB,Fixed Income
MCHI,Intl Equity
MDIV,US Equity
MDY,US Equity
MINT,Fixed Income
MLPI,US Equity
MLPN,US Equity
MOO,US Equity
MUB,Fixed Income
NKY,Intl Equity
OEF,US Equity
OIH,US Equity
OIL,Alternative
PALL,Intl Equity
PBJ,US Equity
PBP,US Equity
PBS,US Equity
PBW,US Equity
PCEF,US Equity
PCY,Fixed Income
PDP,US Equity
PEY,US Equity
PFF,Fixed Income
PGF,Fixed Income
PGX,Fixed Income
PHB,Fixed Income
PHO,US Equity
PID,Intl Equity
PIE,Intl Equity
PIN,Intl Equity
PIZ,Intl Equity
PJP,US Equity
PKW,US Equity
PPH,US Equity
PRF,US Equity
PSP,Intl Equity
PSQ,Fixed Income
PWV,US Equity
PXH,Intl Equity
PZA,Fixed Income
QQQ,US Equity
REM,Alternative
RJA,Alternative
RJI,Alternative
RSP,US Equity
RSX,Intl Equity
RWM,Fixed Income
RWO,Alternative
RWR,Alternative
RWX,Alternative
SBB,Fixed Income
SCHA,US Equity
SCHB,US Equity
SCHD,US Equity
SCHE,Intl Equity
SCHF,Intl Equity
SCHG,US Equity
SCHH,Alternative
SCHM,US Equity
SCHV,US Equity
SCHX,US Equity
SCIF,Intl Equity
SCZ,Intl Equity
SDIV,Intl Equity
SDOG,US Equity
SDY,US Equity
SGOL,Alternative
SH,Fixed Income
SHM,Fixed Income
SHV,Fixed Income
SHY,Fixed Income
SIL,Alternative
SIVR,Alternative
SJNK,Fixed Income
SLV,Alternative
SMH,US Equity
SOXX,US Equity
SPHB,US Equity
SPLV,US Equity
SPY,US Equity
STPZ,Fixed Income
SVXY,US Equity
TAN,Alternative
TBF,US Equity
TDTT,Fixed Income
TFI,Fixed Income
THD,Intl Equity
TIP,Fixed Income
TLT,Fixed Income
TUR,Intl Equity
UNG,Fixed Income
USMV,US Equity
USO,Alternative
UUP,Fixed Income
VB,US Equity
VBK,US Equity
VBR,US Equity
VDC,US Equity
VEA,Intl Equity
VEU,Intl Equity
VFH,US Equity
VGK,Intl Equity
VGT,US Equity
VHT,US Equity
VIG,US Equity
VIIX,Fixed Income
VIXY,Fixed Income
VNM,Intl Equity
VNQ,Alternative
VNQI,Alternative
VO,US Equity
VOE,US Equity
VOO,US Equity
VPL,Intl Equity
VPU,US Equity
VT,Intl Equity
VTI,US Equity
VTIP,Fixed Income
VTV,US Equity
VUG,US Equity
VV,US Equity
VWO,Intl Equity
VXF,US Equity
VXUS,Intl Equity
VXX,Fixed Income
VXZ,Fixed Income
VYM,US Equity
WIP,Fixed Income
XBI,US Equity
XES,US Equity
XHB,US Equity
XIV,US Equity
XLB,US Equity
XLE,US Equity
XLF,US Equity
XLI,US Equity
XLK,US Equity
XLP,US Equity
XLU,US Equity
XLV,US Equity
XLY,US Equity
XME,Intl Equity
XOP,US Equity
XRT,US Equity
YMLP,US Equity
ZIV,US Equity
