Ticker,Description,Asset Class,Asset Subclass
SPY,SPDR S&P 500,U.S. Equity,U.S. Large Cap Blend Equity
MDY,SPDR MidCap Trust Series I,U.S. Equity,U.S. Mid Cap Blend Equity 
EWA,iShares MSCI Australia Index Fund,Foreign Developed Equity,Foreign Developed Australia Equity 
EWC,iShares MSCI Canada Index Fund,Foreign Developed Equity,Foreign Developed Canada Equity
EWQ,iShares MSCI France Index Fund,Foreign Developed Equity,Foreign Developed France Equity
EWG,iShares MSCI Germany Index Fund,Foreign Developed Equity,Foreign Developed Germany Equity
EWH,iShares MSCI Hong Kong Index Fund,Foreign Developed Equity,Foreign Developed Hong Kong Equity
EWI,iShares MSCI Italy Index Fund,Foreign Developed Equity,Foreign Developed Italy Equity
EWJ,iShares MSCI Japan Index Fund,Foreign Developed Equity,Foreign Developed Japan Equity
EWN,iShares MSCI Netherlands Index Fund,Foreign Developed Equity,Foreign Developed Nethrlands Equity 
EWS,iShares MSCI Singapore Index Fund,Foreign Developed Equity,Foreign Developed Singapore Equity
EWP,iShares MSCI Spain Index Fund,Foreign Developed Equity,Foreign Developed Spain Equity 
EWD,iShares MSCI Sweden Index Fund,Foreign Developed Equity,Foreign Developed Sweden Equity
EWL,iShares MSCI Switzerland Index Fund,Foreign Developed Equity,Foreign Developed Switzerland Equity
EWU,iShares MSCI United Kingdom Index Fund,Foreign Developed Equity,Foreign Developed United Kingdom Equity
EWM,iShares MSCI Malaysia Index Fund,Foreign Emerging Equity,Foreign Emerging Malaysia Equity
EWW,iShares MSCI Mexico Index Fund,Foreign Emerging Equity,Foreign Emerging Mexico Equity
DIA,SPDR Dow Jones Industrial Average ETF,U.S. Equity,U.S. Large Cap Value Equity
XLY,Consumer Discretionary Select Sector SPDR,U.S. Equity,U.S. Consumer Discretionary Sector Equity 
XLP,Consumer Staples Select Sector SPDR,U.S. Equity,U.S. Consumer Staples Sector Equity 
XLE,Energy Select Sector SPDR,U.S. Equity,U.S. Energy Sector Equity 
XLF,Financial Select Sector SPDR,U.S. Equity,U.S. Financial Sector Equity
XLV,Health Care Select Sector SPDR,U.S. Equity,U.S. Healthcare Sector Equity 
XLI,Industrial Select Sector SPDR,U.S. Equity,U.S. Industrial Sector Equity 
XLB,Materials Select Sector SPDR,U.S. Equity,U.S. Materials Sector Equity 
XLK,Technology Select Sector SPDR,U.S. Equity,U.S. Technology Sector Equity 
XLU,Utilities Select Sector SPDR,U.S. Equity,U.S. Utilites Sector Equity 
QQQ,QQQ,U.S. Equity,U.S. Large Cap Growth Equity
EWY,iShares MSCI South Korea Index Fund,Foreign Developed Equity,Foreign Developed South Korea Equity
IVV,iShares Core S&P 500 ETF,U.S. Equity,U.S. Large Cap Blend Equity
IWB,iShares Russell 1000 Index Fund,U.S. Equity,U.S. Large Cap Blend Equity
IYW,iShares Dow Jones U.S. Technology Index Fund,U.S. Equity,U.S. Technology Sector Equity 
IWV,iShares Russell 3000,U.S. Equity,U.S. All Cap Equity
IYZ,iShares Dow Jones U.S. Telecommunications Index Fund,U.S. Equity,U.S. Communications Sector Equity
IYF,iShares Dow Jones U.S. Financial Sector Index Fund,U.S. Equity,U.S. Financial Sector Equity
IWF,iShares Russell 1000 Growth,U.S. Equity,U.S. Large Cap Growth Equity
IVW,iShares S&P 500 Growth Index Fund,U.S. Equity,U.S. Large Cap Growth Equity
IWD,iShares Russell 1000 Value,U.S. Equity,U.S. Large Cap Value Equity
IVE,iShares S&P 500 Value Index Fund,U.S. Equity,U.S. Large Cap Value Equity
IJH,iShares Core S&P Mid-Cap ETF,U.S. Equity,U.S. Mid Cap Core Equity 
IJR,iShares Core S&P Small-Cap ETF,U.S. Equity,U.S. Small Cap Blend Equity
IWM,Russell 2000 Index Fund,U.S. Equity,U.S. Small Cap Blend Equity
IYE,iShares Dow Jones U.S. Energy Sector Fund,U.S. Equity,U.S. Energy Sector Equity 
IYR,Dow Jones U.S. Real Estate Index Fund,Alternative,Alternative U.S. Real Estate Equity 
IYM,iShares Dow Jones U.S. Basic Materials Index,U.S. Equity,U.S. Materials Sector Equity 
EWT,iShares MSCI Taiwan Index Fund,Foreign Developed Equity,Foreign Developed Taiwan Equity
EWZ,iShares MSCI Brazil Capped ETF,Foreign Emerging Equity,Foreign Emerging Brazil Equity
IYJ,iShares Dow Jones U.S. Industrial Sector Index Fund,U.S. Equity,U.S. Industrial Sector Equity 
IEV,iShares S&P Europe 350 Index Fund,Foreign Developed Equity,Foreign Developed Europe Equity
IJK,iShares S&P MidCap 400 Growth Index Fund,U.S. Equity,U.S. Mid Cap Growth Equity
IJJ,iShares S&P MidCap 400 Value Index Fund,U.S. Equity,U.S. Mid Cap Value Equity 
IWO,iShares Russell 2000 Growth,U.S. Equity,U.S. Small Cap Growth Equity 
IJT,iShares S&P SmallCap 600 Growth Index Fund,U.S. Equity,U.S. Small Cap Growth Equity 
IWN,iShares Russell 2000 Value Index Fund,U.S. Equity,U.S. Small Cap Value Equity
IJS,iShares S&P SmallCap 600 Value Index Fund,U.S. Equity,U.S. Small Cap Value Equity
EZU,iShares MSCI EMU Index Fund,Foreign Developed Equity,Foreign Developed Europe Equity
OEF,iShares S&P 100 Index Fund,U.S. Equity,U.S. Large Cap Blend Equity
ICF,iShares Cohen & Steers Realty Major,Alternative,Alternative U.S. Real Estate Equity 
IBB,iShares Nasdaq Biotechnology,U.S. Equity,U.S. Healthcare Sector Equity 
VTI,Vanguard Total Stock Market ETF,U.S. Equity,U.S. All Cap Equity
IWP,iShares Russell Midcap Growth Index,U.S. Equity,U.S. Mid Cap Growth Equity
IWS,iShares Russell Midcap Value Index,U.S. Equity,U.S. Mid Cap Value Equity 
RWR,SPDR DJ Wilshire REIT ETF,Alternative,Alternative U.S. Real Estate Equity 
EFA,iShares MSCI EAFE Index Fund,Foreign Developed Equity,Foreign Developed Large Cap Equity 
IWR,iShares Russell Midcap Index Fund,U.S. Equity,U.S. Mid Cap Blend Equity 
IGN,iShares S&P North American Technology-Multimedia Networking Index Fund,U.S. Equity,U.S. Technology Sector Equity 
EPP,iShares MSCI Pacific Ex-Japan Index Fund,Foreign Emerging Equity,Foreign Emerging Pacific ex-Japan Equity
IXC,iShares S&P Global Energy Index Fund,Global Equity,Global Energy Equity
IGE,iShares S&P North American Natural Resources Sector Index Fund,Global Equity,Global North American Materials Sector Equity
VXF,Vanguard Extended Market ETF,U.S. Equity,U.S. Mid Cap Blend Equity 
SHY,Barclays 1-3 Year Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income
TLT,Barclays 20 Year Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income
IEF,Barclays 7-10 Year Treasury Bond Fund,U.S. Fixed Income,U.S. Government Bond Fixed Income
FEZ,SPDR Euro STOXX 50 ETF,Foreign Developed Equity,Foreign Developed Europe Equity 
EEM,iShares MSCI Emerging Markets Index Fund,Foreign Emerging Equity,Foreign Emerging Equity
RSP,Guggenheim S&P Equal Weight ETF,U.S. Equity,U.S. Large Cap Blend Equity
ILF,iShares Latin America 40 Index Fund,Foreign Emerging Equity,Foreign Emerging Latin America Equity
EZA,iShares MSCI South Africa Index Fund,Foreign Emerging Equity,Foreign Emerging South Africa Equity
AGG,iShares Core Total U.S. Bond Market ETF,U.S. Fixed Income,U.S. Total Bond Fixed Income
FVD,First Trust Value Line Dividend Index Fund,U.S. Equity,U.S. Large Cap Value Equity
DVY,Dow Jones Select Dividend Index Fund,U.S. Equity,U.S. Large Cap Value Equity
TIP,Barclays TIPS Bond Fund,U.S. Fixed Income,U.S. Inflation-Protected Government Bond Fixed Income
IYT,iShares Dow Jones Transportation Average Index Fund,U.S. Equity,U.S. Industrial Sector Equity
ITOT,iShares Core S&P Total U.S. Stock Market ETF,U.S. Equity,U.S. All Cap Equity
VDC,Vanguard Consumer Staples ETF,U.S. Equity,U.S. Consumer Staples Sector Equity 
VFH,Vanguard Financials ETF,U.S. Equity,U.S. Financial Sector Equity
VHT,Vanguard Health Care ETF,U.S. Equity,U.S. Healthcare Sector Equity 
VV,Vanguard Large-Cap ETF,U.S. Equity,U.S. Large Cap Blend Equity
VUG,Vanguard Growth ETF,U.S. Equity,U.S. Large Cap Growth Equity
